node	occurrences	viFiles	commonestInputs	commonestOutputs
Random Number (0-1)	152	89		number\3A 0 to 1
VI Server Reference	113	47		This VI
Compound Arithmetic	107	66	value | value | value	result
Generate User Event	86	77	user event | event data cluster | error in | priority (normal)	user event out | error out
Create User Event	79	27	user event datatype | error in	user event | error out
Square	75	25	x	x^2
Destroy User Event	69	21	user event | error in	error out
Initialize Array	68	43	element | dimension size	initialized array
Negate	62	34	x	-x
Call Library Function Node	59	57	error in (no error) | input | output	error out | input | output
Not	57	46	x	.not. x?
Sine	57	38	x	sin(x)
Current VI's Path	52	44		path
Transpose 2D Array	51	31	2D array	transposed array
Expression Node	49	29	input	output
Absolute Value	45	24	x	abs(x)
Unregister For Events	40	40	event registration refnum | error in	error out
And	39	32	x | y	x .and. y?
Replace Array Subset	39	18	array | index | new element/subarray	output array
Call Parent Class Method	39	39	Panel Actor in | error in	Actor out | error out
Not A Number/Path/Refnum?	38	38	number/path/refnum	NaN/Path/Refnum?
Equal To 0?	37	32	x	x = 0?
Tick Count (ms)	37	15		millisecond timer value
One Button Dialog	34	29	message | button name ("OK")	true
Not Equal?	34	30	x | y	x != y?
TDMS Read	33	9	tdms file | group name in | channel name(s) in | error in (no error) | offset (0) | count (-1\3A all) | data type | return channels in file order? (F)	end of file? | tdms file out | group name out | channel name(s) out | data | error out
Array Subset	31	17	array | index | length	subarray
String Length	31	23	string	length
Number To Fractional String	31	17	number | width (-) | precision (6) | use system decimal point (T)	F-format string
Conditional Disable Structure	30	29		
Wait Until Next ms Multiple	30	27	millisecond multiple	millisecond timer value
Square Root	28	20	x	sqrt(x)
Enqueue Element	27	20	queue | element | timeout in ms (-1) | error in (no error)	queue out | timed out? | error out
Max & Min	27	10	x | y	max(x\2Cy) | min(x\2Cy)
Obtain Queue	25	22	name (unnamed) | element data type | create if not found? (T) | error in (no error) | max queue size (-1\2C unlimited)	queue out | created new? | error out
To Double Precision Float	25	16	number	double precision float
Type Cast	25	17	x | type	*(type *) &x
Delete From Array	24	18	array | length | index	array w/ subset deleted | deleted portion
Dequeue Element	24	20	queue | timeout in ms (-1) | error in (no error)	queue out | element | timed out? | error out
Release Queue	24	20	queue | force destroy? (F) | error in (no error)	queue name | remaining elements | error out
Reshape Array	24	12	array | dimension size	output array
Less Than 0?	24	20	x	x < 0?
Greater Or Equal?	23	22	x | y	x >= y?
Add Array Elements	23	16	numeric array	sum
To Variant	23	13	anything	Variant
Array Max & Min	22	20	array	max value | max index (indices) | min value | min index (indices)
Exponential	22	16	x	exp(x)
And Array Elements	21	7	Boolean array	logical AND
Get Date/Time In Seconds	20	20		seconds since 1Jan1904
First Call?	20	20		First Call?\3A T/F
To Unsigned Long Integer	20	11	number	unsigned 32bit integer
Insert Into Array	19	6	array | index | new element/subarray	output array
Empty Array?	19	14	array	empty?
