# Connector pane patterns: which conIdx sits where.
# GENERATED by `LabVIEWMCP --panes <sweep file>` - do not edit by hand.
# harvested 2026-08-13 from panesweep_1.txt, panesweep_all.txt, panesweep_b1.txt, panesweep_own.txt, panesweep_resource.txt, panesweep_user.txt, panesweep_vilib2.txt (scripts/lvpane_sweep.xml over this installation)
#
# slots: conIdx:left,top,right,bottom;... in conIdx order, pane coordinates.
# The array index IS the conIdx. `-` means this pattern was not measured:
# the pattern cannot be set through VI Server, so it can only be observed on
# a VI that already uses it, and no VI in the sweep did.
#
# columns       = MEASURED slots per column, left to right.
# catalogueShape = the LabVIEW Wiki's string for the same pattern. The two
# disagree on ordering for 4817 and 4820 and on the sum for 4833, so the
# notation counts something other than columns. Kept as an identifier only.
# seenVis  = VIs found on this pattern. variants = distinct ORIENTATIONS among
# them; a pane can be rotated or flipped. The slots below are the majority
# orientation, so variants > 1 means only a live measurement is authoritative.
pattern	terminals	catalogueShape	columns	source	sampleVi	seenVis	variants	slots
4800	1	1	1	measured	Error message.vi	45	1	0:0,0,32,32
4801	2	1x1	1x1	measured	Command Line String To Path.vi	71	1	0:16,0,32,32;1:0,0,16,32
4802	3	2x1	2x1	measured	Less Than.vi	33	2	0:16,0,32,32;1:0,16,16,32;2:0,0,16,16
4803	3	3	1x1x1	measured	pp_MixedToBool.vi	3	2	0:0,0,11,32;1:11,0,21,32;2:21,0,32,32
4804	4	3x1	3x1	measured	Join Strings.vi	8	1	0:16,0,32,32;1:0,21,16,32;2:0,11,16,21;3:0,0,16,11
4805	4	2x2	2x2	measured	Polar To Rectangular.vi	33	1	0:16,16,32,32;1:16,0,32,16;2:0,16,16,32;3:0,0,16,16
4806	4	4	4	measured	Configure Statistics.vi	3	1	0:0,24,32,32;1:0,16,32,24;2:0,8,32,16;3:0,0,32,8
4807	5	3x2	3x2	measured	PDE String Vibration_Init Value.vi	10	2	0:16,16,32,32;1:16,0,32,16;2:0,21,16,32;3:0,11,16,21;4:0,0,16,11
4808	5	4x1	4x1	measured	subWfmChopEnd.vi	2	1	0:16,0,32,32;1:0,24,16,32;2:0,16,16,24;3:0,8,16,16;4:0,0,16,8
4809	6	4x2	2x4	measured	Levenberg Marquardt Prep.vi	1	1	0:0,0,16,16;1:0,16,16,32;2:16,0,32,8;3:16,8,32,16;4:16,16,32,24;5:16,24,32,32
4810	6	3x3	3x3	measured	FB Terminal Name Long Width.vi	22	1	0:16,21,32,32;1:16,11,32,21;2:16,0,32,11;3:0,21,16,32;4:0,11,16,21;5:0,0,16,11
4811	7	4x3	3x4	measured	Limit.vi	2	2	0:0,0,16,11;1:0,11,16,21;2:0,21,16,32;3:16,0,32,8;4:16,8,32,16;5:16,16,32,24;6:16,24,32,32
4812	8	4x4	4x4	measured	DIAdem Parameter File.vi	58	1	0:16,24,32,32;1:16,16,32,24;2:16,8,32,16;3:16,0,32,8;4:0,24,16,32;5:0,16,16,24;6:0,8,16,16;7:0,0,16,8
4813	9	4x1x4	4x1x4	measured	Place Item.vi	3	1	0:16,24,32,32;1:16,16,32,24;2:16,8,32,16;3:16,0,32,8;4:8,0,16,32;5:0,24,8,32;6:0,16,8,24;7:0,8,8,16;8:0,0,8,8
4814	10	4x2x4	4x2x4	measured	Tree Sorter.vi	4	1	0:16,24,32,32;1:16,16,32,24;2:16,8,32,16;3:16,0,32,8;4:8,16,16,32;5:8,0,16,16;6:0,24,8,32;7:0,16,8,24;8:0,8,8,16;9:0,0,8,8
4815	12	4x2x2x4	4x2x2x4	measured	Drop Message Core.vi	1144	2	0:24,24,32,32;1:24,16,32,24;2:24,8,32,16;3:24,0,32,8;4:16,16,24,32;5:16,0,24,16;6:8,16,16,32;7:8,0,16,16;8:0,24,8,32;9:0,16,8,24;10:0,8,8,16;11:0,0,8,8
4816	6	3x2x1	-	catalogue	-	0	0	-
4817	7	3x2x2	2x3x2	measured	SCCSup Get Provider Name.vi	3	2	0:24,21,32,32;1:16,21,24,32;2:16,11,32,21;3:24,0,32,11;4:16,0,24,11;5:0,16,16,32;6:0,0,16,16
4818	8	3x2x3	-	catalogue	-	0	0	-
4819	9	3x2x4	-	catalogue	-	0	0	-
4820	10	3x2x2x3	3x2x3x2	measured	isDST.vi	11	2	0:0,0,8,11;1:8,0,16,11;2:0,11,16,21;3:0,21,8,32;4:8,21,16,32;5:16,0,24,11;6:24,0,32,11;7:16,11,32,21;8:16,21,24,32;9:24,21,32,32
4821	11	3x2x2x4	3x2x2x4	measured	ODE Runge Kutta 4th Order.vi	1	1	0:0,0,8,11;1:8,0,16,11;2:0,11,16,21;3:0,21,8,32;4:8,21,16,32;5:16,0,24,16;6:24,0,32,8;7:24,8,32,16;8:16,16,24,32;9:24,16,32,24;10:24,24,32,32
4822	9	4x2x3	4x2x3	measured	ex_Finish Bottom.vi	3	1	0:0,0,8,8;1:8,0,16,16;2:0,8,8,16;3:0,16,8,24;4:8,16,16,32;5:0,24,8,32;6:16,0,32,11;7:16,11,32,21;8:16,21,32,32
4823	6	4x1x1	4x1x1	measured	Linear Intopolation.vi	1	1	0:0,0,8,8;1:0,8,8,16;2:0,16,8,24;3:0,24,8,32;4:8,0,16,32;5:16,0,32,32
4824	7	4x1x2	4x1x2	measured	genHelpConvolutionCorrection.vi	6	1	0:0,0,8,8;1:0,8,8,16;2:0,16,8,24;3:0,24,8,32;4:8,0,16,32;5:16,0,32,16;6:16,16,32,32
4825	8	4x1x3	3x1x4	measured	AB_API Replace Factory Method.vi	1	1	0:24,0,32,8;1:24,8,32,16;2:24,16,32,24;3:24,24,32,32;4:16,0,24,32;5:0,0,16,11;6:0,11,16,21;7:0,21,16,32
4826	10	4x1x1x4	4x1x1x4	measured	Close Reference(NdList).vi	6	1	0:24,24,32,32;1:24,16,32,24;2:24,8,32,16;3:24,0,32,8;4:16,0,24,32;5:8,0,16,32;6:0,24,8,32;7:0,16,8,24;8:0,8,8,16;9:0,0,8,8
4827	7	4x2x1	4x2x1	measured	Add Line Break.vi	1	1	0:16,0,32,32;1:8,16,16,32;2:8,0,16,16;3:0,24,8,32;4:0,16,8,24;5:0,8,8,16;6:0,0,8,8
4828	8	4x2x2	4x2x2	measured	Find And Replace Pattern.vi	2	1	0:16,16,32,32;1:16,0,32,16;2:8,16,16,32;3:8,0,16,16;4:0,24,8,32;5:0,16,8,24;6:0,8,8,16;7:0,0,8,8
4829	11	4x2x1x4	4x2x1x4	measured	LF Write File (STR)__ogtk.vi	5	2	0:24,24,32,32;1:24,16,32,24;2:24,8,32,16;3:24,0,32,8;4:16,0,24,32;5:8,16,16,32;6:8,0,16,16;7:0,24,8,32;8:0,16,8,24;9:0,8,8,16;10:0,0,8,8
4830	4	2x1x1	-	catalogue	-	0	0	-
4831	5	3x1x1	3x1x1	measured	DDT to 2D Bool Transposed.vi	3	1	0:0,21,32,32;1:0,11,32,21;2:0,0,11,11;3:11,0,21,11;4:21,0,32,11
4832	6	3x1x2	3x1x2	measured	Complex IIR Filter (complex signal).vi	3	1	0:21,16,32,32;1:21,0,32,16;2:11,0,21,32;3:0,21,11,32;4:0,11,11,21;5:0,0,11,11
