qualified name	exported	connector pane terminals
LV AI gRPC Service.lvlibp:lvai_ProjectItemUpdateType.ctl	yes	
LV AI gRPC Service.lvlibp:lvai_DiscussFileType.ctl	yes	
LV AI Core.lvlibp:Nigel feature.ctl	yes	
LV AI Core.lvlibp:Is Nigel sharing enabled.vi	yes	enabled?
LV AI Core.lvlibp:Has License To Enable Nigel.vi	yes	Has License To Enable Nigel
LV AI Core.lvlibp:Is Nigel enabled.vi	yes	enabled?
LV AI Core.lvlibp:Are Nigel features enabled.vi	yes	enabled?
LV AI Core.lvlibp:Code suggestion.ctl	yes	
LV AI Core.lvlibp:Code suggestion debug cache.vi	yes	suggestion found? | suggestions | canned response | operation | terminal ref in
LV AI Core.lvlibp:Front panel info.ctl	yes	
LV AI Core.lvlibp:VI Info.ctl	yes	
LV AI Core.lvlibp:Generate code suggestions request.vi	yes	error out | request | error in (no error) | vi info
LV AI Core.lvlibp:Generate VI BD image.vi	yes	error out | png (base64-encoded) | png | vi ref out | error in | vi ref in
LV AI Core.lvlibp:Get code suggestions (python).vi	yes	error out | suggestions | error in (no error) | vi name | request
LV AI Core.lvlibp:Get front panel info.vi	yes	error out | front panel info | dup vi ref | error in | vi ref
LV AI Core.lvlibp:Get gRPC server context.vi	yes	in server context? | server context
LV AI Core.lvlibp:Get list of comments.vi	yes	vi | error in (no error) | List of comments | error out
LV AI Core.lvlibp:Get object unique type name.vi	yes	error out | unique type name | error in (no error) | object
LV AI Core.lvlibp:DAQmx Scale info.ctl	yes	
LV AI Core.lvlibp:DAQmx Trigger info.ctl	yes	
LV AI Core.lvlibp:DAQmx Channel info.ctl	yes	
LV AI Core.lvlibp:DAQmx Task info.ctl	yes	
LV AI Core.lvlibp:Target clock item.ctl	yes	
LV AI Core.lvlibp:Target IO item.ctl	yes	
LV AI Core.lvlibp:Target item info.ctl	yes	
LV AI Core.lvlibp:Variable info.ctl	yes	
LV AI Core.lvlibp:Library item info.ctl	yes	
LV AI Core.lvlibp:Library Info.ctl	yes	
LV AI Core.lvlibp:Class info.ctl	yes	
LV AI Core.lvlibp:Build Spec Info.ctl	yes	
LV AI Core.lvlibp:Target Info.ctl	yes	
LV AI Core.lvlibp:Project Info.ctl	yes	
LV AI Core.lvlibp:Is Nigel feature enabled.vi	yes	enabled? | Nigel feature
LV AI Core.lvlibp:Get project info.vi	yes	error out | project info | error in | project name | project path
LV AI Core.lvlibp:Log CEIP Data.vi	yes	error out | error in | json string
LV AI Core.lvlibp:Log front panel cleanup CEIP data.vi	yes	error out | error in | data
LV AI Core.lvlibp:Are objects grouped or locked.vi	yes	grouped or locked | vi ref
LV AI Core.lvlibp:Is VI eligible for panel cleanup.vi	yes	eligible | user VI ref
LV AI Core.lvlibp:Get supported LabVIEW version.vi	yes	error out | bitness | version | error in (no error)
LV AI Core.lvlibp:Launch Nigel Chat.vi	yes	error out | error in (no error)
LV AI Core.lvlibp:Open VI in best context.vi	yes	error out | vi ref | error in | vi name | vi path
LV AI Core.lvlibp:Palette item info.ctl	yes	
LV AI Core.lvlibp:Run from PPL or loose VI.vi	yes	error out | error in (no error) | PPL path | loose path
LV AI Core.lvlibp:Set code completion lock.vi	yes	error out | vi ref out | error in (no error) | set lock? | vi ref in
LV AI Core.lvlibp:Undo and erase transaction.vi	yes	error out | vi ref out | error in (no error) | vi ref in
LV AI Core.lvlibp:Usage info.ctl	yes	
LV AI Core.lvlibp:Validate XML.vi	yes	XML out | XML in
LV AI Core.lvlibp:Apply code changes.vi	yes	error out | conversion messages | error in (no error) | vi ref | changes (UTF-8 encoded XML)
LV AI Core.lvlibp:Cleanup description.vi	yes	description out | description in
LV AI Core.lvlibp:VI generator.vi	yes	error out | conversion messages | vi ref | error in (no error) | show diagram? | app ref | XML (UTF-8 encoded)
LV AI Core.lvlibp:XML generator.vi	yes	error out | terminal wire name | conversion messages | XML (UTF-8 encoded) | error in (no error) | terminal | vi
LV AI Core.lvlibp:VI Info Cache.lvlib:Cache entry.ctl	yes	
LV AI Core.lvlibp:VI Info Cache.lvlib:GenerationFlags.ctl	yes	
LV AI Core.lvlibp:VI Info Cache.lvlib:Retrieve Entry By Guid.vi	yes	error out | warnings | item found | entry out | error in | GenerationFlags | guid
