class	parentId
Generic	
Application	
VI	
Project	
ProjectItem	
PolymorphicVI	2
FacadeVI	2
Library	74
Variable	
TagSet	
MethodVI	2
XInterfaceLibrary	80
XControlLibrary	103
LVTarget	
Provider	
CopyOperation	
TargetItem	74
ProjectItemType	
CopyItem	
CopyConflict	
CopyExpert	
Scene	
SceneTexture	123
SceneNode	123
SceneLight	104
SceneDrawable	123
SceneGeometry	128
SceneMesh	112
SceneHeightField	112
SceneCylinder	112
SceneSphere	112
SceneCone	112
SceneBox	112
SceneObject	104
SceneClipPlane	104
SceneWindow	123
PropertyFolder	74
XPropertyFolder	120
LibraryData	74
SceneText	128
SubsystemVI	2
ProjectFilesViewItem	
LVClassPropDefFolder	74
GObject	3
Plot	3
Cursor	3
Decoration	36
Text	4
NumericText	5
Scale	36
ColorScale	40
GraphScale	40
ColorGraphScale	40
Control	36
ColorBox	6
Boolean	6
RefNum	6
TypedRefNum	9
LVVariant	6
Path	6
ListBox	6
Table	6
Array	6
Picture	6
ActiveXContainer	6
Numeric	6
Digital	17
NamedNumeric	17
Enum	19
Ring	19
ColorRamp	17
NumericWithScale	17
Slide	33
Knob	33
GraphChart	6
WaveformChart	22
WaveformGraph	22
IntensityChart	22
IntensityGraph	22
String	6
IOName	6
ComboBox	27
Cluster	6
Panel	36
MulticolumnListbox	6
WaveformData	6
DSCTag	28
DAQChannelName	28
VISAResourceName	28
IVILogicalName	28
SlideScale	40
PageSelector	6
Page	3
TabControl	53
ConnectorPane	3
DAQmxName	28
LVObjectRefNum	9
VIRefNum	59
AbsTime	6
DigitalTable	6
TreeControl	6
GenClassTagRef	28
GenClassRef	9
SubPanel	6
RotaryColorScale	41
PlugInControl	6
PlugInDDODummyContainer	6
GenClassTagFlatRef	28
RadioButtonsControl	30
Pane	36
BuildSpecification	74
Pixmap	6
XYGraph	24
Splitter	36
LVClassLibrary	80
XNodeLibrary	103
Scrollbar	6
MixedSignalGraph	22
SceneGraphDisplay	6
LabVIEWClassControl	6
DigitalGraph	24
StatechartLibrary	80
MixedCheckbox	6
MultiSegmentPipe	6
Bus	3
StubDDO	6
DataValRefNum	44
Set	6
Map	6
WebBrowser	6
AbstractDiagram	36
Diagram	16503
TopLevelDiagram	16384
Terminal	36
Constant	36
PathConstant	16386
ArrayConstant	16386
NumericConstant	16386
DigitalNumericConstant	16389
NamedNumericConstant	16389
RingConstant	16391
EnumConstant	16391
StringConstant	16386
ClusterConstant	16386
FixedConstant	16386
BooleanConstant	16386
ControlTerminal	16385
FormulaParameter	36
Tunnel	36
LoopTunnel	16426
RightShiftRegister	16426
SequenceLocal	36
Node	36
Global	16421
Local	16421
Function	16421
Comparison	16400
ReadWriteFile	16400
TypeCast	16400
FlattenUnflattenString	16400
GPIBReadWrite	16400
SubVI	16421
CallByRef	16421
UnitCast	16421
Structure	16421
Loop	16404
ForLoop	16405
WhileLoop	16405
MultiFrameStructure	16404
Sequence	16406
CaseStructure	16406
Formula	16421
ScriptNode	16409
ArrayToCluster	16400
GrowableFunction	16421
BuildClusterArray	16410
CompoundArithmetic	16410
IndexArray	16410
CIN	16410
CallLibrary	16410
FormatScanString	16410
ObjectFunction	16410
Property	16418
Invoke	16418
Wire	36
Probe	3
InnerTerminal	16385
LeftShiftRegister	16426
PolymorphicSubVI	16401
PropertyItem	36
IONameConstant	16386
DSCTagConstant	16445
DAQChannelNameConstant	16445
VISAResourceNameConstant	16445
IVILogicalNameConstant	16445
ColorBoxConstant	16386
ControlReferenceConstant	16421
ConfNode	16401
OuterTerminal	16385
DAQmxNameConstant	16445
EventStructure	16406
FlatSequence	36
GenClassTagRefConstant	16445
AbsTimeConstant	16386
ExternalNode	16407
ComboBoxConstant	16392
SubWizard	3
StateDiagramWizard	16463
ScriptNodeParameter	16396
StaticVIReference	16421
TimedLoop	16435
GenClassTagFlatRefConstant	16445
SimDiagram	16384
CompanionDiagram	16384
SimulationNode	16404
Bundler	16410
Unbundler	16410
BuildArray	16476
NamedBundler	16476
SimulationDCO	36
NamedUnbundler	16477
FlatSequenceFrame	3
FlatSequenceInnerTunnel	36
FlatSequenceOuterTunnel	36
RefNumConstant	16386
ClassSpecifierConstant	16482
FlattenString	16432
PolymorphicVISelector	36
XNode	16421
SelectorTunnel	16525
DisableStructure	16406
SynchronousDataFlowDCO	36
SynchronousDataFlowNode	16404
SDF Companion Diagram	16384
SDFDiagram	16384
FileDialog	16400
CodeWizard	16463
MasterWizard	3
TimeSequenceFrame	16479
TimeFlatSequence	16459
TimedSequence	16404
TimedStructDCO	36
XDataNode	16485
MathScriptNode	16409
MathScriptNodeParameter	16396
LabVIEWClassConstant	16386
MathDiagram	16503
Constructor	16418
StatechartStructureNode	16404
JoinNode	16537
ForkNode	16537
StateNode	16537
JunctionNode	16537
RegionNode	16537
