class	method	parameters	returns
{LV.AbsTimeConstant}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.AbsTimeConstant}	Delete		
{LV.AbsTimeConstant}	Discon Typedef		Discon Typedef
{LV.AbsTimeConstant}	GetProperty	Index	GetProperty
{LV.AbsTimeConstant}	GetPropertyCallData		GetPropertyCallData
{LV.AbsTimeConstant}	GetTag	TagName	GetTag; Value; isPersistent
{LV.AbsTimeConstant}	Move	position; owner; duplicate	
{LV.AbsTimeConstant}	ObjHighlight		
{LV.AbsTimeConstant}	RemoveTag	TagName	RemoveTag; OldValue
{LV.AbsTimeConstant}	Replace	Style; Path; PaletteString	Replace
{LV.AbsTimeConstant}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.AbsTimeConstant}	SetProperty	Index; Value	
{LV.AbsTimeConstant}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.AbsTimeConstant}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.AbsTimeConstant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.AbsTimeConstant}	Update Typedef		Update Typedef
{LV.AbsTime}	AttachDataSocket	url; mode; enabled	
{LV.AbsTime}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.AbsTime}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.AbsTime}	Create Control Ref		Create Control Ref
{LV.AbsTime}	Create Invoke Node		Create Invoke Node
{LV.AbsTime}	Create Local		Create Local
{LV.AbsTime}	Create Property Node		Create Property Node
{LV.AbsTime}	Delete		
{LV.AbsTime}	Discon Typedef		Discon Typedef
{LV.AbsTime}	Get Image	image depth; bg color	image data
{LV.AbsTime}	Get Term Image	image depth; background color	image data
{LV.AbsTime}	GetProperty	Index	GetProperty
{LV.AbsTime}	GetPropertyCallData		GetPropertyCallData
{LV.AbsTime}	GetTag	TagName	GetTag; Value; isPersistent
{LV.AbsTime}	Move	position; owner; duplicate	
{LV.AbsTime}	ObjHighlight		
{LV.AbsTime}	Reinit To Dflt		
{LV.AbsTime}	RemoveDataSocket		
{LV.AbsTime}	RemoveTag	TagName	RemoveTag; OldValue
{LV.AbsTime}	Replace	Style; Path; PaletteString	Replace
{LV.AbsTime}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.AbsTime}	SetProperty	Index; Value	
{LV.AbsTime}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.AbsTime}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.AbsTime}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.AbsTime}	Update Typedef		Update Typedef
{LV.ActiveXContainer}	AttachDataSocket	url; mode; enabled	
{LV.ActiveXContainer}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.ActiveXContainer}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.ActiveXContainer}	Create Control Ref		Create Control Ref
{LV.ActiveXContainer}	Create Invoke Node		Create Invoke Node
{LV.ActiveXContainer}	Create Local		Create Local
{LV.ActiveXContainer}	Create Property Node		Create Property Node
{LV.ActiveXContainer}	Delete		
