class	property	access
{LV.AbsTimeConstant}	Auto-Update From Typedef	read
{LV.AbsTimeConstant}	Bounds	read
{LV.AbsTimeConstant}	Bounds:Area Height	read
{LV.AbsTimeConstant}	Bounds:Area Width	read
{LV.AbsTimeConstant}	Class ID	read
{LV.AbsTimeConstant}	Class Name	read
{LV.AbsTimeConstant}	Description	read
{LV.AbsTimeConstant}	Format String	read
{LV.AbsTimeConstant}	Group Member Refs[]	read
{LV.AbsTimeConstant}	Grouped	read
{LV.AbsTimeConstant}	Is On Block Diagram?	read
{LV.AbsTimeConstant}	Is Typedef?	read
{LV.AbsTimeConstant}	Label	read
{LV.AbsTimeConstant}	Locked	read
{LV.AbsTimeConstant}	Master Bounds Rect	read
{LV.AbsTimeConstant}	Modified	read
{LV.AbsTimeConstant}	Numeric Text	read
{LV.AbsTimeConstant}	Owner (Deprecated)	read
{LV.AbsTimeConstant}	Owning VI	read
{LV.AbsTimeConstant}	Position	read
{LV.AbsTimeConstant}	Position:Left	read
{LV.AbsTimeConstant}	Position:Top	read
{LV.AbsTimeConstant}	Selected	read
{LV.AbsTimeConstant}	Terminal	read
{LV.AbsTimeConstant}	Tip Strip	read
{LV.AbsTimeConstant}	Total Bounds Rect	read
{LV.AbsTimeConstant}	Typedef:Path	read
{LV.AbsTimeConstant}	Typedef:VI	read
{LV.AbsTimeConstant}	Value	read
{LV.AbsTime}	Auto-Update From Typedef	read
{LV.AbsTime}	Bit Accurate Data Size	read
{LV.AbsTime}	Blinking	read
{LV.AbsTime}	Bounds	read
{LV.AbsTime}	Bounds:Area Height	read
{LV.AbsTime}	Bounds:Area Width	read
{LV.AbsTime}	Caption	read
{LV.AbsTime}	Class ID	read
{LV.AbsTime}	Class Name	read
{LV.AbsTime}	Control Reference Nodes[]	read
{LV.AbsTime}	Data Entry Limits	read
{LV.AbsTime}	Data Entry Limits:Increment	read
{LV.AbsTime}	Data Entry Limits:Maximum	read
{LV.AbsTime}	Data Entry Limits:Minimum	read
{LV.AbsTime}	DataSocket:Enabled	read
{LV.AbsTime}	DataSocket:LED Visible	read
{LV.AbsTime}	DataSocket:Mode	read
{LV.AbsTime}	DataSocket:Status	read
{LV.AbsTime}	DataSocket:URL	read
{LV.AbsTime}	Default Value	read
{LV.AbsTime}	Description	read
{LV.AbsTime}	Disabled	read
{LV.AbsTime}	Focus Key Binding	read
{LV.AbsTime}	Format String	read
{LV.AbsTime}	Group Member Refs[]	read
{LV.AbsTime}	Grouped	read
{LV.AbsTime}	Has Caption	read
{LV.AbsTime}	Indicator	read
{LV.AbsTime}	Invoke Nodes[]	read
{LV.AbsTime}	Is On Block Diagram?	read
{LV.AbsTime}	Is On Connector Pane	read
{LV.AbsTime}	Is Typedef?	read
{LV.AbsTime}	Key Focus	read
{LV.AbsTime}	Label	read
{LV.AbsTime}	Latch Value	read
{LV.AbsTime}	Local Variables[]	read
{LV.AbsTime}	Locked	read
{LV.AbsTime}	Master Bounds Rect	read
{LV.AbsTime}	Modified	read
{LV.AbsTime}	Numeric Text	read
{LV.AbsTime}	Owner (Deprecated)	read
{LV.AbsTime}	Owning VI	read
{LV.AbsTime}	Position	read
{LV.AbsTime}	Position:Left	read
{LV.AbsTime}	Position:Top	read
{LV.AbsTime}	Property Nodes[]	read
{LV.AbsTime}	Response to Value Outside Limits	read
{LV.AbsTime}	Response to Value Outside Limits:Increment	read
{LV.AbsTime}	Response to Value Outside Limits:Maximum	read
{LV.AbsTime}	Response to Value Outside Limits:Minimum	read
{LV.AbsTime}	Selected	read
{LV.AbsTime}	Skip When Tabbing	read
{LV.AbsTime}	Synchronous Display	read
{LV.AbsTime}	Terminal	read
{LV.AbsTime}	Tip Strip	read
{LV.AbsTime}	Total Bounds Rect	read
{LV.AbsTime}	Type Descriptor	read
{LV.AbsTime}	Typedef:Path	read
{LV.AbsTime}	Typedef:VI	read
{LV.AbsTime}	Value	read
