ok	kind	orig_bytes	xml_bytes	xml_files	byte_identical	content_identical	seconds	stage	note	warnings	file
False	.lvclass	28233	0	0	False	False	0.23	extract	OSError: RSRC 0 Header sanity check failed.	    raise IOError("RSRC {:d} Header sanity check failed.".format(len(rsrc_headers))) | RSRC 0 Header sanity check failed.	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Channels\Channel Message Handler\messages\MyMessage.lvclass
False	.lvclass	37174	0	0	False	False	0.24	extract	OSError: RSRC 0 Header sanity check failed.	    raise IOError("RSRC {:d} Header sanity check failed.".format(len(rsrc_headers))) | RSRC 0 Header sanity check failed.	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Channels\Event Messenger\SubVIs\Draw Messages\Circle Message\Circle Message.lvclass
False	.lvclass	34945	0	0	False	False	0.24	extract	OSError: RSRC 0 Header sanity check failed.	    raise IOError("RSRC {:d} Header sanity check failed.".format(len(rsrc_headers))) | RSRC 0 Header sanity check failed.	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Channels\Event Messenger\SubVIs\Draw Messages\Draw Message\Draw Message.lvclass
False	.lvlib	1622	0	0	False	False	0.24	extract	OSError: RSRC 0 Header sanity check failed.	    raise IOError("RSRC {:d} Header sanity check failed.".format(len(rsrc_headers))) | RSRC 0 Header sanity check failed.	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Channels\Event Messenger\SubVIs\Draw Messages\Draw Messages.lvlib
False	.lvlib	27521	0	0	False	False	0.23	extract	OSError: RSRC 0 Header sanity check failed.	    raise IOError("RSRC {:d} Header sanity check failed.".format(len(rsrc_headers))) | RSRC 0 Header sanity check failed.	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Connectivity\Web Services\Weather Monitor\Application\Weather Data.lvlib
False	.lvlib	17760	0	0	False	False	0.24	extract	OSError: RSRC 0 Header sanity check failed.	    raise IOError("RSRC {:d} Header sanity check failed.".format(len(rsrc_headers))) | RSRC 0 Header sanity check failed.	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Connectivity\Web Services\Weather Monitor\Client\support\Message Queue\Weather Message Queue.lvlib
True	.vi	18586	353891	11	False	True	1.97	done	27 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x00035F, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 2042 and does not match parsed size 39	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Application Control\Palette Editing API\Create New Palette.vi
True	.vi	3613	15858	11	False	True	1.3	done	26 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000042, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 136 and does not match parsed size 21	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Application Control\VI Scripting\Creating Objects\Test - Create from Ref Target.vi
True	.vi	72580	862632	43	False	True	3.41	done	57 blocks identical	Parsing failed for block b'LIvi' section 0, switched to raw | Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'LIvi' section 0 parse exception: List of LinkObjects incorrectly ended with 0 after b'VIPI'. | Warning: Block b'LIvi' section 0 size is 3540 and does not match parsed size 3531	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Channels\Measure And Log\abstractions\Main Abstraction Level 3.vi
True	.vi	6887	77211	11	False	True	1.44	done	27 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000030, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 219 and does not match parsed size 39	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Connectivity\Libraries and Executables\DLL Calling VIs\WinCOLORREF.vi
True	.vi	9714	59578	19	False	True	1.49	done	35 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000030, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 219 and does not match parsed size 39	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Connectivity\Libraries and Executables\DLL Calling VIs\WinSSIZE_T.vi
True	.vi	7591	123712	12	False	True	1.51	done	27 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 201 and does not match parsed size 32	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Controls and Indicators\Web Browser\Trivial One Page Web Server.vi
True	.vi	20313	241044	29	False	True	1.94	done	45 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000177, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 1824 and does not match parsed size 26	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Data Communication\DataSocket\DataSocket OPC\Monitor OPC Items with DataSocket.vi
True	.ctl	4135	34233	11	False	True	1.34	done	29 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 114 and does not match parsed size 32	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Data Communication\Network Streams\Simple Network Streams\support\Network Stream Command.ctl
True	.vi	11458	102039	23	False	True	1.75	done	49 blocks identical	Parsing failed for block b'LIbd' section 0, switched to raw | Parsing failed for block b'LIds' section 0, switched to raw | Parsing failed for block b'LIvi' section 0, switched to raw | Parsing failed for block b'VITS' section 0, switched to raw	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Data Communication\Shared Variable\Shared Variable Server.vi
True	.vi	21676	202000	17	True	True	2.02	done	46 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000035, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 10203 and does not match parsed size 34	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Delacor\Delacor QMH\DQMH Fundamentals - Thermal Chamber\Libraries\TestStand Manager_DQMH\Get Sync Refnums.vi
True	.vi	23407	324417	18	True	True	2.22	done	45 blocks identical	Parsing failed for block b'LIfp' section 0, switched to raw | Parsing failed for block b'LIvi' section 0, switched to raw | Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'LIfp' section 0 parse exception: LinkObjUDClassDDOToUDClassAPILink b'FPPI' Offset List length 2097152 exceeds limit.	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Delacor\Delacor QMH\DQMH Fundamentals - Thermal Chamber\Libraries\TestStand Manager_DQMH\Init Module.vi
True	.ctl	12725	65013	12	True	True	1.49	done	31 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 6911 and does not match parsed size 32	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Delacor\Delacor QMH\DQMH Fundamentals - Thermal Chamber\Libraries\TestStand Manager_DQMH\Module Data--cluster.ctl
True	.ctl	10997	42246	11	True	True	1.38	done	30 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x001A60, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 6826 and does not match parsed size 25	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Delacor\Delacor QMH\DQMH Fundamentals - Thermal Chamber\Libraries\TestStand Manager_DQMH\Show Panel Argument--cluster.ctl
True	.ctl	14883	46520	12	True	True	1.42	done	31 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 10065 and does not match parsed size 32	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Delacor\Delacor QMH\DQMH Fundamentals - Thermal Chamber\Libraries\Thermal Chamber Controller_DQMH\Show Diagram Argument--cluster.ctl
True	.vi	15958	192033	19	True	True	1.99	done	47 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 53 and does not match parsed size 32	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Delacor\Delacor QMH\DQMH Fundamentals - Thermal Chamber\Thermal Chamber Controller.vi
True	.ctl	16162	233416	12	True	True	1.8	done	31 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 6930 and does not match parsed size 32	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Delacor\Delacor QMH\DQMH Template Example\Libraries\DQMH Template Example\Broadcast Events--cluster.ctl
True	.vi	9160	122929	14	False	True	1.77	done	28 blocks identical	Parsing failed for block b'LIbd' section 0, switched to raw | Parsing failed for block b'LIfp' section 0, switched to raw | Parsing failed for block b'LIvi' section 0, switched to raw | Parsing failed for block b'VITS' section 0, switched to raw	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Design Patterns\Actor Framework\Classes\Customer\Pick up Item.vi
True	.vi	14252	166687	14	False	True	1.83	done	28 blocks identical	Parsing failed for block b'LIbd' section 0, switched to raw | Parsing failed for block b'LIfp' section 0, switched to raw | Parsing failed for block b'LIvi' section 0, switched to raw | Parsing failed for block b'VITS' section 0, switched to raw	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Design Patterns\Actor Framework\Classes\Customer\Submit Order.vi
True	.ctl	5100	38311	12	False	True	1.47	done	31 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x00002E, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 530 and does not match parsed size 21	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Design Patterns\Actor Framework\Classes\Entity Table\Entity Data.ctl
True	.vi	8325	98058	13	False	True	1.65	done	28 blocks identical	Parsing failed for block b'LIfp' section 0, switched to raw | Parsing failed for block b'LIvi' section 0, switched to raw | Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'LIfp' section 0 parse exception: LinkObjUDClassDDOToUDClassAPILink b'FPPI' Offset List length 7471104 exceeds limit.	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Design Patterns\Actor Framework\Classes\Worker\Accessors\Read Incoming Work Dispatcher.vi
True	.vi	6297	86211	11	False	True	1.53	done	27 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000042, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 136 and does not match parsed size 21	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Industry Applications\Temperature Monitoring\support\User Event - Stop\Destroy User Event - Stop.vi
True	.vi	704707	973557	26	True	True	2.54	done	58 blocks identical	Parsing failed for block b'VICD' section 0, switched to raw | Parsing failed for block b'VICD' section 1, switched to raw | Parsing failed for block b'VICD' section 2, switched to raw | Parsing failed for block b'VICD' section 3, switched to raw	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\JDP Science\Malleable Buffer\Example DVR.vi
True	.ctl	11729	59471	12	True	True	1.46	done	31 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000070, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 6846 and does not match parsed size 45	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\JKI\REST Client\examples\JSONPlaceholder\Classes\My API\Post.ctl
True	.vi	33203	499083	42	False	True	2.68	done	58 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000020, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 1646 and does not match parsed size 39	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Mathematics\Differential Equations - ODE\ODE-Disease.vi
True	.vi	29675	582452	34	False	True	2.69	done	49 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x0000E5, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 1702 and does not match parsed size 26	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Mathematics\Optimization\1D Explorer.vi
