# (primResID, parmIndex) -> terminal name, harvested by following wires.
# parmIndex 'out' means the terminal carries no parmIndex, which is how the
# heap marks an output. Numbering is geometric, bottom-to-top; see FINDINGS 3.8.
primResID	node	parmIndex	terminal	seen	competing
1044	Complex To Re/Im	1	x	4	
1044	Complex To Re/Im	out	x + iy	7	
1045	Complex To Polar	1	r	4	
1045	Complex To Polar	2	theta	1	
1045	Complex To Polar	out	r * e^(i*theta)	6	
1046	Re/Im To Complex	1	y	3	
1046	Re/Im To Complex	2	x	4	
1046	Re/Im To Complex	out	x + iy	6	
1047	Polar To Complex	1	theta	4	
1047	Polar To Complex	2	r	3	
1047	Polar To Complex	out	r * e^(i*theta)	3	
1048	Complex Conjugate	1	x + iy	1	
1048	Complex Conjugate	out	x - iy	1	
1049	Sign	1	number	1	
1049	Sign	out	-1, 0, 1	1	
1050	Add	1	y	96	
1050	Add	2	x	126	
1050	Add	out	x+y	108	
1051	Subtract	1	y	57	
1051	Subtract	2	x	72	
1051	Subtract	out	x-y	72	
1052	Multiply	1	y	118	
1052	Multiply	2	x	170	
1052	Multiply	out	x*y	194	
1053	Divide	1	y	52	
1053	Divide	2	x	77	
1053	Divide	out	x/y	103	
1054	Absolute Value	1	x	21	
1054	Absolute Value	out	abs(x)	15	
1055	Round To Nearest	1	number	1	
1055	Round To Nearest	out	nearest integer value	1	
1056	Quotient &amp; Remainder	1	x-y*floor(x/y)	12	
1056	Quotient &amp; Remainder	2	y	14	
1056	Quotient &amp; Remainder	3	x	29	
1056	Quotient &amp; Remainder	out	floor(x/y)	10	
1057	Increment	1	x	88	
1057	Increment	out	x+1	45	
1058	Decrement	1	x	30	
1058	Decrement	out	x-1	26	
1059	Reciprocal	1	x	22	
1059	Reciprocal	out	1/x	22	
1060	Square Root	1	x	13	
1060	Square Root	out	sqrt(x)	11	
1061	And	1	y	22	
1061	And	2	x	19	
1061	And	out	x .and. y?	14	
1062	Or	1	y	97	
1062	Or	2	x	128	
1062	Or	out	x .or. y?	7	
1063	Exclusive Or	2	x	1	
1064	Not	1	x	28	
1064	Not	out	.not. x?	26	
1069	Negate	1	x	10	
1069	Negate	out	-x	7	
1070	Random Number (0-1)	out	number: 0 to 1	42	
1071	Not And	1	y	2	
1071	Not And	2	x	2	
1071	Not And	out	.not. (x .and. y)?	2	
1075	Round Toward -Infinity	1	x	2	
1075	Round Toward -Infinity	out	floor(x): largest int &lt;= x	2	
1077	Path To String	1	path	1	
1077	Path To String	out	string	1	
1079	Cast Unit Bases	out	x	1	
1083	First Call?	out	First Call?: T/F	3	
1084	DataSocket Open	11	URL	1	
1085	DataSocket Close	out	error out	1	
1086	DataSocket Read	2	data	1	
1086	DataSocket Read	11	connection in	1	
1086	DataSocket Read	out	error out	1	
1102	Equal?	1	y	25	
1102	Equal?	2	x	35	
1102	Equal?	out	x = y?	34	
1104	Less Or Equal?	1	y	7	
1104	Less Or Equal?	2	x	6	
1104	Less Or Equal?	out	x &lt;= y?	5	
1105	Not Equal?	1	y	13	
1105	Not Equal?	2	x	12	
1105	Not Equal?	out	x != y?	5	
1108	Max &amp; Min	1	max(x,y)	7	
1108	Max &amp; Min	2	y	14	
1108	Max &amp; Min	3	x	16	
1108	Max &amp; Min	out	min(x,y)	6	
1111	Less?	1	y	5	
1111	Less?	2	x	10	
1111	Less?	out	x &lt; y?	9	
1112	Empty String/Path?	1	string/path	5	
1112	Empty String/Path?	out	empty?	2	
1113	?	1	x	20	
1113	?	out	x = 0?	22	
1115	Less Or Equal To 0?	out	x &lt;= 0?	1	
1116	Not Equal To 0?	1	x	11	
1116	Not Equal To 0?	out	x != 0?	10	
